Pd_hat,Pd_obs,Pd_ucl,Pd_lcl,timestamp
0.0,0.6298890803063033,0.0,0.0,2013-12-09 18:00:00
0.0,0.7367804850352744,0.0,0.0,2013-12-09 19:00:00
0.0,0.8030582959086674,0.0,0.0,2013-12-09 20:00:00
0.0,0.9165280002746296,0.0,0.0,2013-12-09 21:00:00
0.0,0.8708445822248709,0.0,0.0,2013-12-09 22:00:00
0.0,0.5867009710144735,0.0,0.0,2013-12-09 23:00:00
0.0,0.34419410801562633,0.0,0.0,2013-12-10 00:00:00
0.1722201039972483,0.0,0.08579990208490473,0.25864030590959186,2013-12-10 01:00:00
0.022100785545982604,0.0,-0.11198657723141095,0.15618814832337616,2013-12-10 02:00:00
0.03793980173928302,0.0,-0.11163034794105506,0.1875099514196211,2013-12-10 03:00:00
0.053435251614604606,0.0,-0.10214837060540752,0.20901887383461673,2013-12-10 04:00:00
0.07608001638238326,0.0,-0.08194845351756944,0.23410848628233596,2013-12-10 05:00:00
0.09862503201720885,0.0,-0.06041383909945272,0.25766390313387044,2013-12-10 06:00:00
0.31171229964565805,0.0,0.15225314734785567,0.47117145194346044,2013-12-10 07:00:00
0.3826803350750516,0.0,0.223045904297985,0.5423147658521182,2013-12-10 08:00:00
0.36072088308437444,0.0,0.2010132725072971,0.5204284936614518,2013-12-10 09:00:00
0.3703699306366971,0.0,0.2106317532017632,0.530108108071631,2013-12-10 10:00:00
0.3850056715305589,0.0,0.22525472404755864,0.5447566190135592,2013-12-10 11:00:00
0.46389507379547434,0.0,0.3041387915355678,0.6236513560553809,2013-12-10 12:00:00
0.5435396446295815,0.0,0.38372223197624844,0.7033570572829145,2013-12-10 13:00:00
0.5609684516125096,0.0,0.40107933950082286,0.7208575637241964,2013-12-10 14:00:00
0.5087615029361237,0.0,0.34884244209071924,0.6686805637815281,2013-12-10 15:00:00
0.4783551734660181,0.0,0.31842360077273246,0.6382867461593037,2013-12-10 16:00:00
0.5113913663253632,0.0,0.3514545660853154,0.6713281665654109,2013-12-10 17:00:00
0.6078443015967518,0.0,0.4479053171758136,0.7677832860176901,2013-12-10 18:00:00
0.7191518189564441,0.0,0.5592119219247775,0.8790917159881106,2013-12-10 19:00:00
0.7856378599520274,0.0,0.6256975816053183,0.9455781382987365,2013-12-10 20:00:00
0.8935128762016815,0.0,0.73357243853,1.053453313873363,2013-12-10 21:00:00
0.8501249406911617,0.0,0.6901844364486162,1.0100654449337072,2013-12-10 22:00:00
0.5783481575477878,0.0,0.4184076254898804,0.7382886896056952,2013-12-10 23:00:00
0.34914262181781197,0.0,0.1892020781388846,0.5090831654967394,2013-12-11 00:00:00
0.1875817835842899,0.0,0.00737292439915177,0.367790642769428,2013-12-11 01:00:00
0.04439636727673413,0.0,-0.16096647554507043,0.2497592100985387,2013-12-11 02:00:00
0.05742041938015652,0.0,-0.15758260318751233,0.27242344194782536,2013-12-11 03:00:00
0.07101695959431431,0.0,-0.1478883145843413,0.2899222337729699,2013-12-11 04:00:00
0.09409198369286137,0.0,-0.1264233182509869,0.31460728563670964,2013-12-11 05:00:00
0.11969536937188446,0.0,-0.10148918085471056,0.3408799195984795,2013-12-11 06:00:00
0.32857127265553765,0.0,0.10710768838367637,0.550034856927399,2013-12-11 07:00:00
0.3993539257567056,0.0,0.1777738566747595,0.6209339948386516,2013-12-11 08:00:00
0.38276686203303,0.0,0.1611381401221246,0.6043955839439354,2013-12-11 09:00:00
0.3902213567788018,0.0,0.16857230937153117,0.6118704041860725,2013-12-11 10:00:00
0.39300583261773114,0.0,0.17134829314025818,0.6146633720952042,2013-12-11 11:00:00
0.45914677953456656,0.0,0.23748569233045952,0.6808078667386737,2013-12-11 12:00:00
0.5288106705163453,0.0,0.3070168275452365,0.7506045134874542,2013-12-11 13:00:00
0.5395935271097803,0.0,0.31763049922971603,0.7615565549898444,2013-12-11 14:00:00
0.49008573492818025,0.0,0.2680520545356602,0.7121194153207002,2013-12-11 15:00:00
0.461500175085255,0.0,0.23943698054195195,0.683563369628558,2013-12-11 16:00:00
0.4941241924322371,0.0,0.27204866712686715,0.716199717737607,2013-12-11 17:00:00
0.5876454892889781,0.0,0.365564812010661,0.8097261665672952,2013-12-11 18:00:00
0.7029902287256804,0.0,0.48090739882589173,0.9250730586254691,2013-12-11 19:00:00
0.7696540569576558,0.0,0.5475703276333048,0.9917377862820067,2013-12-11 20:00:00
0.8723790345979452,0.0,0.6502949294672177,1.0944631397286726,2013-12-11 21:00:00
0.8310948765021003,0.0,0.6090106143480108,1.05317913865619,2013-12-11 22:00:00
0.5706789927532129,0.0,0.3485946649899293,0.7927633205164965,2013-12-11 23:00:00
0.3536944152004494,0.0,0.13161006002653122,0.5757787703743676,2013-12-12 00:00:00
0.20170128103143004,0.0,-0.0343233281380014,0.4377258902008615,2013-12-12 01:00:00
0.0648868219966312,0.0,-0.18945169316477944,0.31922533715804186,2013-12-12 02:00:00
0.07532340789106112,0.0,-0.18628774731390696,0.3369345630960292,2013-12-12 03:00:00
0.08717452127824338,0.0,-0.1774161636202844,0.35176520617677115,2013-12-12 04:00:00
0.11064466722737726,0.0,-0.15518106515284286,0.3764703996075974,2013-12-12 05:00:00
0.13905838584587876,0.0,-0.12728169139900503,0.40539846309076255,2013-12-12 06:00:00
0.34406412137308395,0.0,0.07750942855495874,0.6106188141912092,2013-12-12 07:00:00
0.4146763441881133,0.0,0.1480320296363195,0.681320658739907,2013-12-12 08:00:00
0.40302621909508524,0.0,0.13634446672687295,0.6697079714632975,2013-12-12 09:00:00
0.40846398748955814,0.0,0.14176659399811214,0.6751613809810042,2013-12-12 10:00:00
0.40035765962114045,0.0,0.13365373105539285,0.667061588186888,2013-12-12 11:00:00
0.4547833318459807,0.0,0.18807667309962633,0.7214899905923351,2013-12-12 12:00:00
0.515275414874622,0.0,0.2483557282608006,0.7821951014884434,2013-12-12 13:00:00
0.5199509340966344,0.0,0.2527513300216743,0.7871505381715944,2013-12-12 14:00:00
0.4729235429907337,0.0,0.20560706754770391,0.7402400184337634,2013-12-12 15:00:00
0.44601118705777765,0.0,0.17864589426764516,0.7133764798479101,2013-12-12 16:00:00
0.47825643206300994,0.0,0.21087074451743032,0.7456421196085896,2013-12-12 17:00:00
0.5690836830012946,0.0,0.3016894743535142,0.8364778916490752,2013-12-12 18:00:00
0.6881384489372478,0.0,0.4207406799843077,0.955536217890188,2013-12-12 19:00:00
0.7549656553288724,0.0,0.4875663987862417,1.022364911871503,2013-12-12 20:00:00
0.8529579768478295,0.0,0.5855580987465766,1.1203578549490825,2013-12-12 21:00:00
0.8136070962408914,0.0,0.546206958433612,1.081007234048171,2013-12-12 22:00:00
0.5636313724181967,0.0,0.2962311260977656,0.8310316187386279,2013-12-12 23:00:00
0.3578773105048337,0.0,0.09047701884927734,0.6252776021603901,2013-12-13 00:00:00
